Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,CouncilArea_filled
Abbotsford,85 Turner St,2,h,1480000,S,Biggin,03/12/2016,2.5,3067,2,1,1.0,202,1970.0,Yarra,-377.996,1.449.984,Northern Metropolitan,4019.0,Yarra
Abbotsford,25 Bloomburg St,2,h,1035000,S,Biggin,04/02/2016,2.5,3067,2,1,0.0,156,1900.0,Yarra,-378.079,1.449.934,Northern Metropolitan,4019.0,Yarra
Abbotsford,5 Charles St,3,h,1465000,SP,Biggin,04/03/2017,2.5,3067,3,2,0.0,134,1900.0,Yarra,-378.093,1.449.944,Northern Metropolitan,4019.0,Yarra
Abbotsford,40 Federation La,3,h,850000,PI,Biggin,04/03/2017,2.5,3067,3,2,1.0,94,1970.0,Yarra,-377.969,1.449.969,Northern Metropolitan,4019.0,Yarra
Abbotsford,55a Park St,4,h,1600000,VB,Nelson,04/06/2016,2.5,3067,3,1,2.0,120,2014.0,Yarra,-378.072,1.449.941,Northern Metropolitan,4019.0,Yarra
Abbotsford,129 Charles St,2,h,941000,S,Jellis,07/05/2016,2.5,3067,2,1,0.0,181,1970.0,Yarra,-378.041,1.449.953,Northern Metropolitan,4019.0,Yarra
Abbotsford,124 Yarra St,3,h,1876000,S,Nelson,07/05/2016,2.5,3067,4,2,0.0,245,1910.0,Yarra,-378.024,1.449.993,Northern Metropolitan,4019.0,Yarra
Abbotsford,98 Charles St,2,h,1636000,S,Nelson,08/10/2016,2.5,3067,2,1,2.0,256,1890.0,Yarra,-37.806,1.449.954,Northern Metropolitan,4019.0,Yarra
Abbotsford,6/241 Nicholson St,1,u,300000,S,Biggin,08/10/2016,2.5,3067,1,1,1.0,0,1970.0,Yarra,-378.008,1.449.973,Northern Metropolitan,4019.0,Yarra
Abbotsford,10 Valiant St,2,h,1097000,S,Biggin,08/10/2016,2.5,3067,3,1,2.0,220,1900.0,Yarra,-37.801,1.449.989,Northern Metropolitan,4019.0,Yarra
Abbotsford,411/8 Grosvenor St,2,u,700000,VB,Jellis,12/11/2016,2.5,3067,2,2,1.0,0,1970.0,Yarra,-37.811,1.450.067,Northern Metropolitan,4019.0,Yarra
Abbotsford,40 Nicholson St,3,h,1350000,VB,Nelson,12/11/2016,2.5,3067,3,2,2.0,214,2005.0,Yarra,-378.085,1.449.964,Northern Metropolitan,4019.0,Yarra
Abbotsford,123/56 Nicholson St,2,u,750000,S,Biggin,12/11/2016,2.5,3067,2,2,1.0,0,2009.0,Yarra,-378.078,1.449.965,Northern Metropolitan,4019.0,Yarra
Abbotsford,45 William St,2,h,1172500,S,Biggin,13/08/2016,2.5,3067,2,1,1.0,195,1970.0,Yarra,-378.084,1.449.973,Northern Metropolitan,4019.0,Yarra
Abbotsford,7/20 Abbotsford St,1,u,441000,SP,Greg,14/05/2016,2.5,3067,1,1,1.0,0,1970.0,Yarra,-378.016,1.449.988,Northern Metropolitan,4019.0,Yarra
Abbotsford,16 William St,2,h,1310000,S,Jellis,15/10/2016,2.5,3067,2,1,2.0,238,1890.0,Yarra,-37.809,1.449.976,Northern Metropolitan,4019.0,Yarra
Abbotsford,42 Henry St,3,h,1200000,S,Jellis,16/07/2016,2.5,3067,3,2,1.0,113,1880.0,Yarra,-378.056,144.993,Northern Metropolitan,4019.0,Yarra
Abbotsford,78 Yarra St,3,h,1176500,S,LITTLE,16/07/2016,2.5,3067,2,1,1.0,138,1890.0,Yarra,-378.021,1.449.965,Northern Metropolitan,4019.0,Yarra
Abbotsford,196 Nicholson St,3,h,955000,S,Collins,17/09/2016,2.5,3067,3,1,0.0,183,1970.0,Yarra,-378.022,1.449.975,Northern Metropolitan,4019.0,Yarra
Abbotsford,42 Valiant St,2,h,890000,S,Biggin,17/09/2016,2.5,3067,2,1,1.0,150,1985.0,Yarra,-378.011,1.450.004,Northern Metropolitan,4019.0,Yarra
